email_date,email_subject,company,eval_pct,rank,notes,ticker,sell_target_date,status,buy_date,buy_price,sell_date,sell_price,return_pct,end_value_usd,holding_days
2026-06-22,Weekly Asia Market Movers: Global Majors & Industry (22 Jun 2026),PYC Therapeutics,26.0,2,,PYC.AX,2026-07-22,ok,2026-06-22 00:00:00+10:00,1.524999976158142,2026-07-22 00:00:00+10:00,1.6050000190734863,5.245904535479695,1.0524590453547968,30.0
2026-06-22,Weekly Asia Market Movers: Global Majors & Industry (22 Jun 2026),Caliway Biopharmaceuticals,25.0,3,,6919.TW,2026-07-22,ok,2026-06-22 00:00:00+08:00,119.5,2026-07-22 00:00:00+08:00,104.0,-12.97071129707113,0.8702928870292888,30.0
2026-06-22,Daily Market Movers: Global Majors & Industry (22 Jun 2026),Definium Therapeutics,50.0,1,22 Jun: Phase 3 VELA trial results.,DFTX,2026-07-22,ok,2026-06-22 00:00:00-04:00,36.66999816894531,2026-07-22 00:00:00-04:00,43.66999816894531,19.08917466466656,1.1908917466466655,30.0
2026-06-22,Daily Market Movers: Global Majors & Industry (22 Jun 2026),Apogee Therapeutics,47.0,2,22 Jun: Phase 3 VELA trial results.,APGE,2026-07-22,incomplete,2026-06-22 00:00:00-04:00,132.5500030517578,,,,,
2026-06-22,Daily Market Movers: Global Majors & Industry (22 Jun 2026),Nuvectis Pharma,20.0,3,22 Jun: Phase 3 VELA trial results.,NVCT,2026-07-22,ok,2026-06-22 00:00:00-04:00,16.530000686645508,2026-07-22 00:00:00-04:00,19.290000915527344,16.696915391610506,1.1669691539161051,30.0
2026-06-23,Daily Market Movers: Global Majors & Industry (23 Jun 2026),Autolus Therapeutics,12.0,1,,AUTL,2026-07-23,ok,2026-06-23 00:00:00-04:00,1.659999966621399,2026-07-23 00:00:00-04:00,1.5199999809265137,-8.433734247587214,0.9156626575241279,30.0
2026-06-23,Daily Market Movers: Global Majors & Industry (23 Jun 2026),Iovance Biotherapeutics,9.0,2,,IOVA,2026-07-23,ok,2026-06-23 00:00:00-04:00,4.440000057220459,2026-07-23 00:00:00-04:00,5.130000114440918,15.54054162901103,1.1554054162901104,30.0
2026-06-23,Daily Market Movers: Global Majors & Industry (17 June 2026),Elicio Therapeutics,72.0,1,,ELTX,2026-07-23,ok,2026-06-23 00:00:00-04:00,4.110000133514404,2026-07-23 00:00:00-04:00,3.1500000953674316,-23.35766440294711,0.7664233559705289,30.0
2026-06-23,Daily Market Movers: Global Majors & Industry (17 June 2026),Indaptus Therapeutics,20.0,2,,INDP,2026-07-23,ok,2026-06-23 00:00:00-04:00,3.7100000381469727,2026-07-23 00:00:00-04:00,2.7699999809265137,-25.336928505530672,0.7466307149446934,30.0
2026-06-24,Daily Market Movers: Global Majors & Industry (24 Jun 2026),Definium Therapeutics,16.0,1,,DFTX,2026-07-24,ok,2026-06-24 00:00:00-04:00,42.130001068115234,2026-07-24 00:00:00-04:00,43.16999816894531,2.4685427829651,1.024685427829651,30.0
2026-06-24,Daily Market Movers: Global Majors & Industry (24 Jun 2026),NeoGenomics,12.0,2,,NEO,2026-07-24,ok,2026-06-24 00:00:00-04:00,12.899999618530273,2026-07-24 00:00:00-04:00,13.890000343322754,7.674424450140204,1.076744244501402,30.0
2026-06-24,Daily Market Movers: Global Majors & Industry (24 Jun 2026),Adaptive Biotechnologies,12.0,3,,ADPT,2026-07-24,ok,2026-06-24 00:00:00-04:00,19.34000015258789,2026-07-24 00:00:00-04:00,22.270000457763672,15.149949752113715,1.1514994975211372,30.0
2026-06-25,Daily Market Movers: Global Majors & Industry (25th Jun 2026),Bio-Techne,20.0,1,,TECH,2026-07-25,ok,2026-06-25 00:00:00-04:00,70.62178802490234,2026-07-27 00:00:00-04:00,71.54077911376953,1.3012855020650809,1.0130128550206507,32.0
2026-06-25,Daily Market Movers: Global Majors & Industry (25th Jun 2026),Kymera Therapeutics,17.0,2,,KYMR,2026-07-25,ok,2026-06-25 00:00:00-04:00,116.45999908447266,2026-07-27 00:00:00-04:00,110.05000305175781,-5.5040323571232745,0.9449596764287672,32.0
2026-06-25,Daily Market Movers: Global Majors & Industry (25th Jun 2026),Nurix Therapeutics,16.0,3,,NRIX,2026-07-25,ok,2026-06-25 00:00:00-04:00,22.459999084472656,2026-07-27 00:00:00-04:00,23.43000030517578,4.31879456920245,1.0431879456920246,32.0
2026-06-26,Daily Market Movers: Global Majors & Industry (26th Jun 2026),CapForce,346.0,1,,CAPS,2026-07-26,ok,2026-06-26 00:00:00-04:00,0.25,2026-07-27 00:00:00-04:00,0.23999999463558197,-4.000002145767212,0.9599999785423279,31.0
2026-06-26,Daily Market Movers: Global Majors & Industry (26th Jun 2026),Zura Bio,19.0,2,,ZURA,2026-07-26,ok,2026-06-26 00:00:00-04:00,5.349999904632568,2026-07-27 00:00:00-04:00,5.380000114440918,0.5607515951985795,1.0056075159519857,31.0
2026-06-26,Daily Market Movers: Global Majors & Industry (26th Jun 2026),Sellas Life Sciences Group,18.0,3,,SLS,2026-07-26,ok,2026-06-26 00:00:00-04:00,12.390000343322754,2026-07-27 00:00:00-04:00,10.84000015258789,-12.51008997405067,0.8748991002594932,31.0
2026-06-29,Daily Market Movers: Global Majors & Industry (29 Jun 2026),Erasca,15.0,1,,ERAS,2026-07-29,ok,2026-06-29 00:00:00-04:00,18.290000915527344,2026-07-29 00:00:00-04:00,17.719999313354492,-3.1164656842031495,0.9688353431579685,30.0
2026-06-29,Daily Market Movers: Global Majors & Industry (29 Jun 2026),GNI Group,11.0,2,,2160.T,2026-07-29,ok,2026-06-29 00:00:00+09:00,2788.0,2026-07-29 00:00:00+09:00,2300.0,-17.50358680057389,0.8249641319942611,30.0
2026-06-29,Daily Market Movers: Global Majors & Industry (29 Jun 2026),AbCellera Biologics,10.0,3,,ABCL,2026-07-29,ok,2026-06-29 00:00:00-04:00,8.119999885559082,2026-07-29 00:00:00-04:00,5.389999866485596,-33.6206903639078,0.663793096360922,30.0
2026-06-29,Weekly Asia Market Movers: Global Majors & Industry (29 Jun 2026),HanAll BioPharma,39.0,1,,009420.KS,2026-07-29,ok,2026-06-29 00:00:00+09:00,69000.0,2026-07-29 00:00:00+09:00,41700.0,-39.565217391304344,0.6043478260869566,30.0
