email_date	email_subject	rank	company	evaluation	notes
3/23/2026	Daily Market Movers: Global Majors & Industry (23 Mar 2026)	4	Oruka Therapeutics	7%	
3/23/2026	Daily Market Movers: Global Majors & Industry (23 Mar 2026)	5	Sarepta Therapeutics	6%	
3/23/2026	Weekly Asia Market Movers: Global Majors & Industry (23 Mar 2026)	5	BioDlink International Company	21%	
3/23/2026	Daily Market Movers: Global Majors & Industry (23 Mar 2026)	6	Cogent Biosciences	6%	
3/23/2026	Weekly Asia Market Movers: Global Majors & Industry (23 Mar 2026)	6	Telix Pharmaceuticals	17%	
3/23/2026	Daily Market Movers: Global Majors & Industry (23 Mar 2026)	7	Insmed	6%	23 Mar: Shares raise after company reported positive Phase 3b data for ARIKAYCE, with the study meeting primary and key secondary endpoints and supporting potential expansion of the therapy���s use.
3/23/2026	Weekly Asia Market Movers: Global Majors & Industry (23 Mar 2026)	7	Sunshine Guojian Pharmaceutical (Shanghai)	12%	
3/23/2026	Weekly Asia Market Movers: Global Majors & Industry (23 Mar 2026)	8	Regencell Bioscience	11%	
3/23/2026	Daily Market Movers: Global Majors & Industry (23 Mar 2026)	8	Glaukos	6%	23 Mar: Shares raise after company announced a specialty pharmacy partnership to support the commercial rollout of its newly launched keratoconus therapy Epioxa, improving distribution and access.
3/23/2026	Weekly Asia Market Movers: Global Majors & Industry (23 Mar 2026)	9	Holy Stone Enterprise	11%	
3/23/2026	Daily Market Movers: Global Majors & Industry (23 Mar 2026)	9	Twist Bioscience	6%	
3/23/2026	Daily Market Movers: Global Majors & Industry (23 Mar 2026)	10	STAAR Surgical	6%	
3/23/2026	Weekly Asia Market Movers: Global Majors & Industry (23 Mar 2026)	10	Peptron	9%	
3/24/2026	Daily Market Movers: Global Majors & Industry (24 Mar 2026)	1	Centessa Pharmaceuticals	8%	
3/24/2026	Daily Market Movers: Global Majors & Industry (24 Mar 2026)	2	Sumitomo Pharma	7%	24 Mar: Shares rise a day after company announces Dsp-3077 has received FDA orphan drug designation for the treatment of retinitis pigmentosa.
3/24/2026	Daily Market Movers: Global Majors & Industry (24 Mar 2026)	3	Celanese	7%	
3/24/2026	Daily Market Movers: Global Majors & Industry (24 Mar 2026)	4	Twist Bioscience	7%	
3/24/2026	Daily Market Movers: Global Majors & Industry (24 Mar 2026)	5	Astellas Pharma	5%	
3/24/2026	Daily Market Movers: Global Majors & Industry (24 Mar 2026)	6	Wacker-Chemie	5%	
3/24/2026	Daily Market Movers: Global Majors & Industry (24 Mar 2026)	7	Nippon Shinyaku	5%	
3/24/2026	Daily Market Movers: Global Majors & Industry (24 Mar 2026)	8	Mitsui &amp; Co	5%	
3/24/2026	Daily Market Movers: Global Majors & Industry (24 Mar 2026)	9	Mitsubishi Chemical	4%	
3/24/2026	Daily Market Movers: Global Majors & Industry (24 Mar 2026)	10	Hamamatsu Photonics	4%	
3/25/2026	Daily Market Movers: Global Majors & Industry (25 Mar 2026)	1	Sarepta Therapeutics	35%	25 Mar: Company announces initial clinical data from its siRNA pipeline showing strong target knockdown in muscular dystrophy programs.
3/25/2026	Daily Market Movers: Global Majors & Industry (25 Mar 2026)	2	Corcept Therapeutics	20%	25 Mar: The FDA approves company���s Relacorilant in combination therapy for platinum-resistant ovarian cancer.
3/25/2026	Daily Market Movers: Global Majors & Industry (25 Mar 2026)	3	Summit Therapeutics	15%	
3/25/2026	Daily Market Movers: Global Majors & Industry (25 Mar 2026)	4	Enliven Therapeutics	14%	
3/25/2026	Daily Market Movers: Global Majors & Industry (25 Mar 2026)	5	Oruka Therapeutics	10%	
3/25/2026	Daily Market Movers: Global Majors & Industry (25 Mar 2026)	6	Mesoblast	9%	
3/25/2026	Daily Market Movers: Global Majors & Industry (25 Mar 2026)	7	Erasca	9%	
3/25/2026	Daily Market Movers: Global Majors & Industry (25 Mar 2026)	8	ImmunityBio	9%	
3/25/2026	Daily Market Movers: Global Majors & Industry (25 Mar 2026)	9	BWX Technologies	8%	
3/25/2026	Daily Market Movers: Global Majors & Industry (25 Mar 2026)	10	Spyre Therapeutics	8%	
3/26/2026	Market Movers: Global Majors & Industry (26 Mar 2026)	1	Kodiak Sciences	75%	26 Mar: Company announces positive topline results in Phase III study of Zenkuda in treating patients with diabetic retinopathy.
3/26/2026	Market Movers: Global Majors & Industry (26 Mar 2026)	2	Precigen	25%	26 Mar: Company announces positive Q4' and FY25 results.
3/26/2026	Market Movers: Global Majors & Industry (26 Mar 2026)	3	Crescent Biopharma	15%	
3/26/2026	Market Movers: Global Majors & Industry (26 Mar 2026)	4	Curative Biotechnology	14%	
3/26/2026	Market Movers: Global Majors & Industry (26 Mar 2026)	5	Madrigal Pharmaceuticals	12%	
3/26/2026	Market Movers: Global Majors & Industry (26 Mar 2026)	6	Enliven Therapeutics	11%	
3/26/2026	Market Movers: Global Majors & Industry (26 Mar 2026)	7	KalVista Pharmaceuticals	11%	26 Mar: Company announces positive Q4' and FY25 results.
3/26/2026	Market Movers: Global Majors & Industry (26 Mar 2026)	8	ARS Pharmaceuticals	8%	
3/26/2026	Market Movers: Global Majors & Industry (26 Mar 2026)	9	Zura Bio	7%	
3/26/2026	Market Movers: Global Majors & Industry (26 Mar 2026)	10	Solid Biosciences	7%	
3/30/2026	Daily Market Movers: Global Majors & Industry (30 Mar 2026)	1	United Therapeutics	12%	30 Mar: Shares rise sharply after company reports positive Phase
3/30/2026	Weekly Asia Market Movers: Global Majors & Industry (30 Mar 2026)	1	Helixmith	58%	
3/30/2026	Daily Market Movers: Global Majors & Industry (30 Mar 2026)	2	paediatric insomnia data for daridorexant, supporting potential label expansion into a high unmet-need population. 3 Alvotech	6%	
3/30/2026	Weekly Asia Market Movers: Global Majors & Industry (30 Mar 2026)	2	Bukwang Pharmaceutical	50%	
3/30/2026	Daily Market Movers: Global Majors & Industry (30 Mar 2026)	3	IPF data for Tyvaso, supporting a potential label expansion and major commercial upside. 2 Idorsia	8%	30 Mar: Shares rise after company reports positive Phase
3/30/2026	Weekly Asia Market Movers: Global Majors & Industry (30 Mar 2026)	3	CStone Pharmaceuticals	41%	
3/30/2026	Daily Market Movers: Global Majors & Industry (30 Mar 2026)	4	Insmed	6%	30 Mar: Shares rise after company receives an analyst upgrade and price target increase, supported by strong early launch data and positive read-through from IPF trial results.
3/30/2026	Weekly Asia Market Movers: Global Majors & Industry (30 Mar 2026)	4	ToolGen	37%	
3/30/2026	Daily Market Movers: Global Majors & Industry (30 Mar 2026)	5	GeneDx (USA)	4%	
3/30/2026	Weekly Asia Market Movers: Global Majors & Industry (30 Mar 2026)	5	OPTUS Pharmaceutical	35%	
3/30/2026	Daily Market Movers: Global Majors & Industry (30 Mar 2026)	6	Vericel	4%	
3/30/2026	Weekly Asia Market Movers: Global Majors & Industry (30 Mar 2026)	6	STCube	35%	
3/30/2026	Weekly Asia Market Movers: Global Majors & Industry (30 Mar 2026)	7	Transcenta Holding	30%	
3/30/2026	Daily Market Movers: Global Majors & Industry (30 Mar 2026)	7	WAVE Life Sciences	4%	
3/30/2026	Weekly Asia Market Movers: Global Majors & Industry (30 Mar 2026)	8	Ascletis Pharma	28%	
3/30/2026	Daily Market Movers: Global Majors & Industry (30 Mar 2026)	8	Adaptive Biotechnologies	4%	
3/30/2026	Weekly Asia Market Movers: Global Majors & Industry (30 Mar 2026)	9	Sam Chun Dang Pharm	26%	
3/30/2026	Daily Market Movers: Global Majors & Industry (30 Mar 2026)	9	Vaxcyte	3%	
3/30/2026	Weekly Asia Market Movers: Global Majors & Industry (30 Mar 2026)	10	Clover Biopharmaceuticals	25%	
3/30/2026	Daily Market Movers: Global Majors & Industry (30 Mar 2026)	10	Wacker-Chemie	3%	
3/31/2026	Daily Market Movers: Global Majors & Industry (31 Mar 2026)	1	Apellis Pharmaceuticals	135%	31 Mar: Biogen to acquire company for $41 per share.
3/31/2026	Daily Market Movers: Global Majors & Industry (31 Mar 2026)	2	Centessa Pharmaceuticals	44%	31 Mar: Eli Lilly to acquire company for $38 per share.
3/31/2026	Daily Market Movers: Global Majors & Industry (31 Mar 2026)	3	Precigen	20%	
3/31/2026	Daily Market Movers: Global Majors & Industry (31 Mar 2026)	4	Alkermes	17%	
3/31/2026	Daily Market Movers: Global Majors & Industry (31 Mar 2026)	5	Praxis Precision Medicines	17%	
3/31/2026	Daily Market Movers: Global Majors & Industry (31 Mar 2026)	6	Mineralys Therapeutics	15%	
3/31/2026	Daily Market Movers: Global Majors & Industry (31 Mar 2026)	7	ImmunityBio	15%	31 Mar: Company to receive $75m in non-dilutive funding under existing Revenue Interest Purchase Agreement (RIPA) with Oberland Capital, bringing total committed capital to $375m.
3/31/2026	Daily Market Movers: Global Majors & Industry (31 Mar 2026)	8	Ocular Therapeutix	15%	
3/31/2026	Daily Market Movers: Global Majors & Industry (31 Mar 2026)	9	Scholar Rock	14%	31 Mar: Company resubmits Biologics License Application to the FDA for Apitegromab for the treatment of spinal muscular atrophy.
3/31/2026	Daily Market Movers: Global Majors & Industry (31 Mar 2026)	10	Agios Pharmaceuticals	14%	31 Mar: Company announces they will apply for accelerated approval from the FDA for Mitapivat for the treatment of sickle cell disease.
4/1/2026	Daily Market Movers: Global Majors & Industry (01 Apr 2026)	1	Kodiak Sciences	12%	
4/1/2026	Daily Market Movers: Global Majors & Industry (01 Apr 2026)	3	Dermapharm Holding	10%	
4/1/2026	Daily Market Movers: Global Majors & Industry (01 Apr 2026)	4	Definium Therapeutics	9%	
4/1/2026	Daily Market Movers: Global Majors & Industry (01 Apr 2026)	7	Sumitomo Pharma	8%	
4/1/2026	Daily Market Movers: Global Majors & Industry (01 Apr 2026)	8	Caris Life Sciences	7%	
4/1/2026	Daily Market Movers: Global Majors & Industry (01 Apr 2026)	10	Sumitomo Heavy Industries	7%	
4/3/2026	Weekly Market Movers: Global Majors & Industry (03 Apr 2026)	1	Insmed	13%	30 Mar: Shares rise after company receives an analyst upgrade and price target increase, supported by strong early launch data and positive read-through from IPF trial results.
4/3/2026	Weekly Market Movers: Global Majors & Industry (03 Apr 2026)	2	Natera	12%	
4/3/2026	Weekly Market Movers: Global Majors & Industry (03 Apr 2026)	3	Illumina	9%	
4/3/2026	Weekly Market Movers: Global Majors & Industry (03 Apr 2026)	3	IPF data for Tyvaso, supporting a potential label expansion and major commercial upside. 6 BWX Technologies	7%	
4/3/2026	Weekly Market Movers: Global Majors & Industry (03 Apr 2026)	4	argenx	8%	
4/3/2026	Weekly Market Movers: Global Majors & Industry (03 Apr 2026)	5	United Therapeutics	7%	30 Mar: Shares rise sharply after company reports positive Phase
4/3/2026	Weekly Market Movers: Global Majors & Industry (03 Apr 2026)	7	BioNTech	7%	
4/3/2026	Weekly Market Movers: Global Majors & Industry (03 Apr 2026)	8	Ipsen	6%	
4/3/2026	Weekly Market Movers: Global Majors & Industry (03 Apr 2026)	9	Danaher	6%	
4/3/2026	Weekly Market Movers: Global Majors & Industry (03 Apr 2026)	10	Sandoz Group	6%	
4/6/2026	Daily Market Movers: Global Majors & Industry (06 Apr 2026)	1	Genomma Lab Internacional	4%	
4/6/2026	Weekly Asia Market Movers: Global Majors & Industry (06 APR 2026)	1	Sichuan Huiyu Pharmaceutical	34%	
4/6/2026	Daily Market Movers: Global Majors & Industry (06 Apr 2026)	2	Inventiva	3%	
4/6/2026	Weekly Asia Market Movers: Global Majors & Industry (06 APR 2026)	2	Regencell Bioscience	30%	
4/6/2026	Daily Market Movers: Global Majors & Industry (06 Apr 2026)	3	Krka Group	3%	
4/6/2026	Weekly Asia Market Movers: Global Majors & Industry (06 APR 2026)	3	Caliway Biopharmaceuticals	22%	
4/6/2026	Weekly Asia Market Movers: Global Majors & Industry (06 APR 2026)	4	Luye Pharma Group	21%	
4/6/2026	Daily Market Movers: Global Majors & Industry (06 Apr 2026)	4	Eurofins Scientific	3%	
4/6/2026	Daily Market Movers: Global Majors & Industry (06 Apr 2026)	5	Oxford Nanopore Technologies	2%	
4/6/2026	Weekly Asia Market Movers: Global Majors & Industry (06 APR 2026)	5	Easton Biopharmaceuticals	20%	
4/6/2026	Daily Market Movers: Global Majors & Industry (06 Apr 2026)	6	Kerry Group	2%	
4/6/2026	Weekly Asia Market Movers: Global Majors & Industry (06 APR 2026)	6	Jiangsu Aidea Pharmaceutical	19%	
4/6/2026	Weekly Asia Market Movers: Global Majors & Industry (06 APR 2026)	7	InventisBio	17%	
4/6/2026	Daily Market Movers: Global Majors & Industry (06 Apr 2026)	7	Recordati	2%	
4/6/2026	Weekly Asia Market Movers: Global Majors & Industry (06 APR 2026)	8	RemeGen	17%	
4/6/2026	Daily Market Movers: Global Majors & Industry (06 Apr 2026)	8	Hikma Pharmaceuticals	2%	
4/6/2026	Daily Market Movers: Global Majors & Industry (06 Apr 2026)	9	Ipsen	1%	
4/6/2026	Weekly Asia Market Movers: Global Majors & Industry (06 APR 2026)	9	Keymed Biosciences	16%	
4/6/2026	Weekly Asia Market Movers: Global Majors & Industry (06 APR 2026)	10	Harbour BioMed	16%	
4/6/2026	Daily Market Movers: Global Majors & Industry (06 Apr 2026)	10	bioM��rieux	1%	
4/7/2026	Daily Market Movers: Global Majors & Industry (07 Apr 2026)	1	Prelude Therapeutics	20%	
4/7/2026	Daily Market Movers: Global Majors & Industry (07 Apr 2026)	2	AC Immune	15%	
4/7/2026	Daily Market Movers: Global Majors & Industry (07 Apr 2026)	4	Ovid Therapeutics	12%	
4/7/2026	Daily Market Movers: Global Majors & Industry (07 Apr 2026)	5	Enliven Therapeutics	11%	
4/7/2026	Daily Market Movers: Global Majors & Industry (07 Apr 2026)	6	LEXEO Therapeutics	9%	
4/7/2026	Daily Market Movers: Global Majors & Industry (07 Apr 2026)	7	Relay Therapeutics	8%	
4/7/2026	Daily Market Movers: Global Majors & Industry (07 Apr 2026)	8	Oruka Therapeutics	8%	
4/7/2026	Daily Market Movers: Global Majors & Industry (07 Apr 2026)	9	Kodiak Sciences	7%	
4/7/2026	Daily Market Movers: Global Majors & Industry (07 Apr 2026)	10	MapLight Therapeutics	7%	
4/8/2026	Daily Market Movers: Global Majors & Industry (08 Apr 2026)	1	AxoGen	10%	
4/8/2026	Daily Market Movers: Global Majors & Industry (08 Apr 2026)	2	Mitsui Chemicals	10%	
4/8/2026	Daily Market Movers: Global Majors & Industry (08 Apr 2026)	3	Mitsubishi Chemical	9%	
4/8/2026	Daily Market Movers: Global Majors & Industry (08 Apr 2026)	4	Plus Therapeutics	9%	
4/8/2026	Daily Market Movers: Global Majors & Industry (08 Apr 2026)	6	BWX Technologies	8%	
4/8/2026	Daily Market Movers: Global Majors & Industry (08 Apr 2026)	7	Relay Therapeutics	8%	
4/8/2026	Daily Market Movers: Global Majors & Industry (08 Apr 2026)	8	Toyota Tsusho	7%	
4/8/2026	Daily Market Movers: Global Majors & Industry (08 Apr 2026)	9	Hamamatsu Photonics	7%	
4/8/2026	Daily Market Movers: Global Majors & Industry (08 Apr 2026)	10	Asahi Kasei	7%	
4/9/2026	Daily Market Movers: Global Majors & Industry (09 Apr 2026)	1	Zentalis Pharmaceuticals	60%	
4/9/2026	Daily Market Movers: Global Majors & Industry (09 Apr 2026)	3	Forte Biosciences	28%	
4/9/2026	Daily Market Movers: Global Majors & Industry (09 Apr 2026)	5	Plus Therapeutics	23%	
4/9/2026	Daily Market Movers: Global Majors & Industry (09 Apr 2026)	7	STAAR Surgical	21%	
4/9/2026	Daily Market Movers: Global Majors & Industry (09 Apr 2026)	8	Organon	18%	
4/9/2026	Daily Market Movers: Global Majors & Industry (09 Apr 2026)	9	ProMIS Neurosciences	17%	
4/9/2026	Daily Market Movers: Global Majors & Industry (09 Apr 2026)	10	Iovance Biotherapeutics	15%	
4/13/2026	Daily Market Movers: Global Majors & Industry (13 Apr 2026)	1	Revolution Medicines	41%	13 Apr: Company announces positive topline results from its phase III trial evaluating Daraxonrasib in patients with metastatic pancreatic ductal adenocarcinoma. In addition, company announces its intention to offer $750m of common stock and $250m aggregate principal amount of convertible senior notes due 2033.
4/13/2026	Weekly Market Movers: Global Majors & Industry (13 Apr 2026)	1	Zentalis Pharmaceuticals	146%	
4/13/2026	Weekly Asia Market Movers: Global Majors & Industry (13 Apr 2026)	1	Unitika	63%	
4/13/2026	Weekly Asia Market Movers: Global Majors & Industry (13 Apr 2026)	2	Medipost	25%	
4/13/2026	Daily Market Movers: Global Majors & Industry (13 Apr 2026)	2	TuHURA Biosciences	26%	
4/13/2026	Weekly Asia Market Movers: Global Majors & Industry (13 Apr 2026)	3	ToolGen	23%	
4/13/2026	Daily Market Movers: Global Majors & Industry (13 Apr 2026)	3	Spyre Therapeutics	23%	13 Apr: Company announces positive 12-week induction data from Part A of phase II SKYLINE trial of SPY001 for the treatment of ulcerative colitis. In addition, company announces it has commenced an underwritten public offering on $300m of shares of its common stock.
4/13/2026	Weekly Market Movers: Global Majors & Industry (13 Apr 2026)	3	Organon	46%	
4/13/2026	Weekly Market Movers: Global Majors & Industry (13 Apr 2026)	4	Plus Therapeutics	44%	
4/13/2026	Daily Market Movers: Global Majors & Industry (13 Apr 2026)	4	Unitika	21%	
4/13/2026	Weekly Asia Market Movers: Global Majors & Industry (13 Apr 2026)	4	Telix Pharmaceuticals	22%	
4/13/2026	Weekly Asia Market Movers: Global Majors & Industry (13 Apr 2026)	5	Helixmith	21%	
4/13/2026	Daily Market Movers: Global Majors & Industry (13 Apr 2026)	5	uniQure	16%	
4/13/2026	Weekly Asia Market Movers: Global Majors & Industry (13 Apr 2026)	6	Nature Cell	20%	
4/13/2026	Weekly Market Movers: Global Majors & Industry (13 Apr 2026)	6	Invivyd	35%	
4/13/2026	Daily Market Movers: Global Majors & Industry (13 Apr 2026)	6	Cellectis	16%	13 Apr: Company announces positive phase II interim results for Cema-cel in first-line large B-cell lymphoma.
4/13/2026	Weekly Market Movers: Global Majors & Industry (13 Apr 2026)	7	Unitika	35%	
4/13/2026	Weekly Asia Market Movers: Global Majors & Industry (13 Apr 2026)	7	SK Chemicals	17%	
4/13/2026	Daily Market Movers: Global Majors & Industry (13 Apr 2026)	7	PolyPeptide Group	13%	
4/13/2026	Weekly Market Movers: Global Majors & Industry (13 Apr 2026)	8	Milestone Pharmaceuticals	33%	
4/13/2026	Daily Market Movers: Global Majors & Industry (13 Apr 2026)	8	CytoDyn	13%	
4/13/2026	Weekly Asia Market Movers: Global Majors & Industry (13 Apr 2026)	8	Oscotec	16%	
4/13/2026	Daily Market Movers: Global Majors & Industry (13 Apr 2026)	9	Alto Neuroscience	13%	
4/13/2026	Weekly Asia Market Movers: Global Majors & Industry (13 Apr 2026)	9	Sun Pharma Advanced Research	16%	
4/13/2026	Weekly Market Movers: Global Majors & Industry (13 Apr 2026)	9	Forte Biosciences	33%	
4/13/2026	Weekly Asia Market Movers: Global Majors & Industry (13 Apr 2026)	10	D&amp;D Pharmatech	15%	
4/13/2026	Daily Market Movers: Global Majors & Industry (13 Apr 2026)	10	ASP Isotopes	13%	Revolution Medicines
4/14/2026	Daily Market Movers: Global Majors & Industry (14 Apr 2026)	1	diabetes. 8 Praxis Precision Medicines	8%	14 Apr: The FDA accepts for review company's New Drug Application for Ulixacaltamide HCl for the treatment of essential tremor in adults.
4/14/2026	Daily Market Movers: Global Majors & Industry (14 Apr 2026)	1	Unitika	23%	
4/14/2026	Daily Market Movers: Global Majors & Industry (14 Apr 2026)	2	Twist Bioscience	14%	
4/14/2026	Daily Market Movers: Global Majors & Industry (14 Apr 2026)	3	Ironwood Pharmaceuticals	11%	
4/14/2026	Daily Market Movers: Global Majors & Industry (14 Apr 2026)	4	Armata Pharmaceuticals	10%	
4/14/2026	Daily Market Movers: Global Majors & Industry (14 Apr 2026)	5	GeneDx (USA)	10%	
4/14/2026	Daily Market Movers: Global Majors & Industry (14 Apr 2026)	6	Erasca	10%	13 Apr [post market]: Jefferies maintains &quot;buy&quot; rating and adjusts the price target to $21 from $6.
4/14/2026	Daily Market Movers: Global Majors & Industry (14 Apr 2026)	7	Sana Biotechnology	9%	13 Apr [post market]: Company and Mayo Clinic announce a strategic collaboration to advance the development of SC451, company's pancreatic islet cell therapy for type
4/14/2026	Daily Market Movers: Global Majors & Industry (14 Apr 2026)	9	Vir Biotechnology	8%	
4/14/2026	Daily Market Movers: Global Majors & Industry (14 Apr 2026)	10	Integra LifeSciences	8%	
4/15/2026	Daily Market Movers: Global Majors & Industry (15 Apr 2026)	1	Mineralys Therapeutics	11%	
4/15/2026	Daily Market Movers: Global Majors & Industry (15 Apr 2026)	2	years and older with atopic dermatitis. 8 Alumis	6%	
4/15/2026	Daily Market Movers: Global Majors & Industry (15 Apr 2026)	2	Legend Biotech	10%	
4/15/2026	Daily Market Movers: Global Majors & Industry (15 Apr 2026)	3	Spyre Therapeutics	8%	14 Apr [post market]: Company announces pricing of upsized $403m public offering of common stock.
4/15/2026	Daily Market Movers: Global Majors & Industry (15 Apr 2026)	4	Sumitomo Pharma	8%	
4/15/2026	Daily Market Movers: Global Majors & Industry (15 Apr 2026)	5	Denali Therapeutics	8%	
4/15/2026	Daily Market Movers: Global Majors & Industry (15 Apr 2026)	6	Arrowhead Pharmaceuticals	6%	
4/15/2026	Daily Market Movers: Global Majors & Industry (15 Apr 2026)	7	Organon	6%	15 Apr: The American Academy of Dermatology provides strong, evidence-based recommendation for the use of company's Vtama cream for the treatment of children aged
4/15/2026	Daily Market Movers: Global Majors & Industry (15 Apr 2026)	9	Tango Therapeutics	5%	15 Apr: Company announces key leadership appointments, adding three seasoned industry executives to support the rapid advancement of Vopimetostat.
4/15/2026	Daily Market Movers: Global Majors & Industry (15 Apr 2026)	10	Relay Therapeutics	5%	
4/16/2026	Daily Market Movers: Global Majors & Industry (16 Apr 2026)	1	Achieve Life Sciences	35%	16 Apr: Company announces up to $354m private placement, including initial upfront funding of approximately $180m and up to an additional approximately $174m on exercise of milestone-driven warrants. Furthermore, company appoints Andrew D Goldberg as Chief Executive Officer and Director.
4/16/2026	Daily Market Movers: Global Majors & Industry (16 Apr 2026)	2	Artiva Biotherapeutics	33%	16 Apr: Needham maintains &quot;buy&quot; rating and target price at $18.
4/16/2026	Daily Market Movers: Global Majors & Industry (16 Apr 2026)	3	Unitika	24%	
4/16/2026	Daily Market Movers: Global Majors & Industry (16 Apr 2026)	4	Summit Therapeutics	16%	
4/16/2026	Daily Market Movers: Global Majors & Industry (16 Apr 2026)	5	Jade Biosciences	13%	
4/16/2026	Daily Market Movers: Global Majors & Industry (16 Apr 2026)	6	COMPASS Pathways	12%	
4/16/2026	Daily Market Movers: Global Majors & Industry (16 Apr 2026)	7	Compass Therapeutics	12%	
4/16/2026	Daily Market Movers: Global Majors & Industry (16 Apr 2026)	8	ASKA Pharmaceutical	9%	
4/16/2026	Daily Market Movers: Global Majors & Industry (16 Apr 2026)	9	CytoDyn	9%	
4/16/2026	Daily Market Movers: Global Majors & Industry (16 Apr 2026)	10	Allogene Therapeutics	9%	16 Apr: JPMorgan upgrades rating to &quot;neutral&quot; from &quot;underweight&quot;.
4/17/2026	Weekly Market Movers: Global Majors & Industry (17 Apr 2026)	1	Revolution Medicines	54%	13 Apr: Company announces positive topline results from its phase III trial evaluating Daraxonrasib in patients with metastatic pancreatic ductal adenocarcinoma. In addition, company announces its intention to offer $750m of common stock and $250m aggregate principal amount of convertible senior notes due 2033.
4/17/2026	Daily Market Movers: Global Majors & Industry (17 Apr 2026)	1	HST Global	892%	
4/17/2026	Daily Market Movers: Global Majors & Industry (17 Apr 2026)	2	Nkarta Therapeutics	24%	17 Apr: Shares rise a day after company reached an agreement with the FDA to change the protocol of a clinical program for NKX019, which will reduce the need for patient overnight stays and overall patient burden.
4/17/2026	Weekly Market Movers: Global Majors & Industry (17 Apr 2026)	2	Taysha Gene Therapies	43%	
4/17/2026	Daily Market Movers: Global Majors & Industry (17 Apr 2026)	3	Candel Therapeutics	24%	
4/17/2026	Weekly Market Movers: Global Majors & Industry (17 Apr 2026)	3	Spyre Therapeutics	42%	14 Apr [post market]: Company announces pricing of upsized $403m public offering of common stock.
4/17/2026	Weekly Market Movers: Global Majors & Industry (17 Apr 2026)	4	Travere Therapeutics	41%	
4/17/2026	Daily Market Movers: Global Majors & Industry (17 Apr 2026)	4	Unitika	20%	
4/17/2026	Daily Market Movers: Global Majors & Industry (17 Apr 2026)	5	Corvus Pharmaceuticals	11%	17 Apr: Goldman Sachs initiates coverage with a &quot;buy&quot; recommendation and $40 price target.
4/17/2026	Weekly Market Movers: Global Majors & Industry (17 Apr 2026)	5	Neurogene	37%	
4/17/2026	Daily Market Movers: Global Majors & Industry (17 Apr 2026)	6	Kodiak Sciences	11%	
4/17/2026	Weekly Market Movers: Global Majors & Industry (17 Apr 2026)	6	Tango Therapeutics	34%	15 Apr: Company announces key leadership appointments, adding three seasoned industry executives to support the rapid advancement of Vopimetostat.
4/17/2026	Weekly Market Movers: Global Majors & Industry (17 Apr 2026)	7	Silence Therapeutics	32%	
4/17/2026	Daily Market Movers: Global Majors & Industry (17 Apr 2026)	7	Absci	11%	
4/17/2026	Weekly Market Movers: Global Majors & Industry (17 Apr 2026)	8	Eledon Pharmaceuticals	28%	
4/17/2026	Daily Market Movers: Global Majors & Industry (17 Apr 2026)	8	Ocular Therapeutix	11%	
4/17/2026	Daily Market Movers: Global Majors & Industry (17 Apr 2026)	9	Vor Biopharma	11%	
4/17/2026	Weekly Market Movers: Global Majors & Industry (17 Apr 2026)	9	Summit Therapeutics	28%	
4/17/2026	Weekly Market Movers: Global Majors & Industry (17 Apr 2026)	10	CytoDyn	27%	
4/17/2026	Daily Market Movers: Global Majors & Industry (17 Apr 2026)	10	CG Oncology	11%	
4/20/2026	Weekly Asia Market Movers: Global Majors & Industry (20 Apr 2026)	1	CARsgen Therapeutics	41%	
4/20/2026	Daily Market Movers: Global Majors & Industry (20 Apr 2026)	1	AtaiBeckley	22%	
4/20/2026	Daily Market Movers: Global Majors & Industry (20 Apr 2026)	2	Nektar Therapeutics	18%	20 Apr: Shares rise sharply after company reports positive long-term phase IIb alopecia data, reinforcing efficacy and supporting progression toward late-stage trials.
4/20/2026	Weekly Asia Market Movers: Global Majors & Industry (20 Apr 2026)	2	Lin Bioscience	26%	
4/20/2026	Weekly Asia Market Movers: Global Majors & Industry (20 Apr 2026)	3	Qurient Therapeutics	19%	
4/20/2026	Daily Market Movers: Global Majors & Industry (20 Apr 2026)	3	GH Research	18%	20 Apr: Shares rise after company highlights supportive U.S. policy on mental health and psychedelic therapies, reinforcing regulatory tailwinds for its pipeline.
4/20/2026	Daily Market Movers: Global Majors & Industry (20 Apr 2026)	4	Erasca	14%	
4/20/2026	Weekly Asia Market Movers: Global Majors & Industry (20 Apr 2026)	4	Zai Lab	18%	
4/20/2026	Weekly Asia Market Movers: Global Majors & Industry (20 Apr 2026)	5	PYC Therapeutics	14%	
4/20/2026	Daily Market Movers: Global Majors & Industry (20 Apr 2026)	5	BillionToOne	9%	
4/20/2026	Weekly Asia Market Movers: Global Majors & Industry (20 Apr 2026)	6	Health and Happiness (H&amp;H) International Holdings	13%	
4/20/2026	Daily Market Movers: Global Majors & Industry (20 Apr 2026)	6	ImmunityBio	7%	
4/20/2026	Daily Market Movers: Global Majors & Industry (20 Apr 2026)	7	Chugai Pharmaceutical	6%	
4/20/2026	Weekly Asia Market Movers: Global Majors & Industry (20 Apr 2026)	7	SanBio	13%	
4/20/2026	Daily Market Movers: Global Majors & Industry (20 Apr 2026)	8	GeneDx (USA)	6%	
4/20/2026	Weekly Asia Market Movers: Global Majors & Industry (20 Apr 2026)	8	Mesoblast	13%	
4/20/2026	Weekly Asia Market Movers: Global Majors & Industry (20 Apr 2026)	9	Fujitsu	12%	
4/20/2026	Daily Market Movers: Global Majors & Industry (20 Apr 2026)	9	TG Therapeutics	5%	
