email_date,email_subject,rank,company,eval_pct,notes,ticker,hold_months,sell_target_date,status,buy_date,buy_price,sell_date,sell_price,return_pct,end_value_usd,holding_days,error
2026-04-13,Daily Market Movers: Global Majors & Industry (13 Apr 2026),3,Spyre Therapeutics,23.0,"13 Apr: Company announces positive 12-week induction data from Part A of phase II SKYLINE trial of SPY001 for the treatment of ulcerative colitis. In addition, company announces it has commenced an underwritten public offering on $300m of shares of its common stock.",SYRE,1,2026-05-13,ok,2026-04-13 00:00:00-04:00,63.27000045776367,2026-05-13 00:00:00-04:00,76.30999755859375,20.610079036643945,1.2061007903664394,30.0,
2026-04-13,Weekly Market Movers: Global Majors & Industry (13 Apr 2026),3,Organon,46.0,,OGN,1,2026-05-13,ok,2026-04-13 00:00:00-04:00,8.514776229858398,2026-05-13 00:00:00-04:00,13.32055377960205,56.44044446983163,1.5644044446983163,30.0,
2026-04-13,Weekly Market Movers: Global Majors & Industry (13 Apr 2026),4,Plus Therapeutics,44.0,,PSTV,1,2026-05-13,no_data,,,,,,,,
2026-04-13,Daily Market Movers: Global Majors & Industry (13 Apr 2026),4,Unitika,21.0,,3103.T,1,2026-05-13,ok,2026-04-13 00:00:00+09:00,1763.0,2026-05-13 00:00:00+09:00,2315.0,31.310266591038005,1.31310266591038,30.0,
2026-04-13,Weekly Asia Market Movers: Global Majors & Industry (13 Apr 2026),4,Telix Pharmaceuticals,22.0,,TLX.AX,1,2026-05-13,ok,2026-04-13 00:00:00+10:00,15.770000457763672,2026-05-13 00:00:00+10:00,14.520000457763672,-7.926442382470681,0.9207355761752932,30.0,
2026-04-13,Weekly Asia Market Movers: Global Majors & Industry (13 Apr 2026),5,Helixmith,21.0,,084990.KQ,1,2026-05-13,ok,2026-04-13 00:00:00+09:00,9120.0,2026-05-13 00:00:00+09:00,7860.0,-13.815789473684212,0.8618421052631579,30.0,
2026-04-13,Daily Market Movers: Global Majors & Industry (13 Apr 2026),5,uniQure,16.0,,QURE,1,2026-05-13,ok,2026-04-13 00:00:00-04:00,17.920000076293945,2026-05-13 00:00:00-04:00,29.170000076293945,62.77901758986278,1.6277901758986277,30.0,
2026-04-13,Weekly Asia Market Movers: Global Majors & Industry (13 Apr 2026),6,Nature Cell,20.0,,007390.KQ,1,2026-05-13,ok,2026-04-13 00:00:00+09:00,20300.0,2026-05-13 00:00:00+09:00,18140.0,-10.64039408866995,0.8935960591133005,30.0,
2026-04-13,Weekly Market Movers: Global Majors & Industry (13 Apr 2026),6,Invivyd,35.0,,IVVD,1,2026-05-13,ok,2026-04-13 00:00:00-04:00,1.7200000286102295,2026-05-13 00:00:00-04:00,1.4700000286102295,-14.534883479159097,0.854651165208409,30.0,
2026-04-13,Daily Market Movers: Global Majors & Industry (13 Apr 2026),6,Cellectis,16.0,13 Apr: Company announces positive phase II interim results for Cema-cel in first-line large B-cell lymphoma.,CLLS,1,2026-05-13,ok,2026-04-13 00:00:00-04:00,4.28000020980835,2026-05-13 00:00:00-04:00,3.9800000190734863,-7.009349907211727,0.9299065009278827,30.0,
